skill,group_skills,title,role,short_role,,,,,,,,,
API Management and Monetization,Cloud API Management,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon AppSync-Power,Cloud Application Integration,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Simple Queue Service (SQS),Cloud Application Integration,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Simple Notification Service (SNS),Cloud Application Integration,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon EventBridge-Serverless,Cloud Application Integration,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Step Functions-Coordinate Distributed Applications,Cloud Application Integration,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon MQ-Managed Message Broker for ActiveMQ,Cloud Application Integration,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Managed Blockchain,Cloud Blockchain,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Quantum Ledger Database,Cloud Blockchain,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Blockchain Service,Cloud Blockchain,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Blockchain Workbench,Cloud Blockchain,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Virtual Machines,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Kubernetes Service (AKS),Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Batch Coding and Implementation,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Services,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure VMware Solution by CloudSimple,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Functions,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
SAP HANA on Azure Large Instances,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Dedicated Host,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Windows Virtual Desktop,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Linux Virtual Machines,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure CycleCloud,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Virtual Machine Scale Sets,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Shielded VMs,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Sole-tenant Nodes,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud GPUs,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
