skill,group_skills,title,role,short_role,,,,,,,,,
Flask WSGI Micro Web Framework,Data Science Projects and Environments,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Tornado Web Framework,Data Science Projects and Environments,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
CuPandas Framework,Data Science Projects and Environments,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Github Version Controls,Data Science Projects and Environments,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SVN-Apache Subversion,Data Science Projects and Environments,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Mandriva Linux Operating System,Data Science Projects and Environments,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
GitLab Version Controls,Data Science Projects and Environments,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
NumPy Library and Programming,Data Science Projects and Environments,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Statsmodels Framework,Data Science Projects and Environments,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Windows 10 Operating System,Data Science Projects and Environments,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Azure DevOps Services and Tools,Data Science Projects and Environments,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Google Cloud Functions,Deploy and Manage Serverless Applications,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Auth0 WebTask,Deploy and Manage Serverless Applications,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
AWS Lambda Service,Deploy and Manage Serverless Applications,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
IBM OpenWhisk,Deploy and Manage Serverless Applications,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Azure Functions,Deploy and Manage Serverless Applications,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Jupyter Notebook,Development Tools and Environment,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
PyCharm IDE,Development Tools and Environment,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Eclipse IDE,Development Tools and Environment,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
IntellJ IDE,Development Tools and Environment,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Visual Studio IDE,Development Tools and Environment,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Pivotal GemFire Tool,DevOps Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Lipstick Tool,DevOps Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Genie REST-ful APIs Tool,DevOps Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Azure DevOps Services and Tools,DevOps Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Gitlab DevOp Tools,DevOps Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Amazon Kinesis Data Streams Service,Distributed Streaming Platform and Streams Service,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Azure Stream Analytics Platform,Distributed Streaming Platform and Streams Service,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Apache Kafka Distributed Streaming Platform,Distributed Streaming Platform and Streams Service,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Apama Streaming Analytics Platform,Distributed Streaming Platform and Streams Service,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Apache Flink Distributed Streaming Platform,Distributed Streaming Platform and Streams Service,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
IBM Streaming Analytics Platform,Distributed Streaming Platform and Streams Service,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
ETL/ELT ??Tactical and Strategic,ETL and ELT Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Segment ETL and Data Collection Tool,ETL and ELT Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
ETL (Power Center v10.1/v10.2),ETL and ELT Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Panoply Smart Cloud Data Warehouse,ETL and ELT Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Amazon Redshift Cloud Data Warehouse,ETL and ELT Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
ODI - Oracle Data Integrator,ETL and ELT Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
StitchData ETL Tool and Solution,ETL and ELT Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SAP Business Objects Data Integrator,ETL and ELT Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SSIS - SQL Server Integrated Services,ETL and ELT Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Fivetran ETL Tool and Solution,ETL and ELT Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Apache Nifi,ETL and ELT Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SAS Data Integration Studio,ETL and ELT Tools,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Full Load - Incremental Load,ETL/ELT Operation Skills,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Trackchange/ SCD (Slowly Changing Dimension),ETL/ELT Operation Skills,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Group & Set Schedule Loadplan,ETL/ELT Operation Skills,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Defining Workflow,ETL/ELT Operation Skills,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Define Loadplan/ Pipeline,ETL/ELT Operation Skills,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Define Mapping to Target DB,ETL/ELT Operation Skills,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
ETL Connection and Driver,ETL/ELT Operation Skills,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SCD (Slowly changing dimension),ETL/ELT Operation Skills,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Tensorflow Framework C++,Machine Learning and Deep Learning Frameworks,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
CoreML Framework,Machine Learning and Deep Learning Frameworks,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Caffe Framework,Machine Learning and Deep Learning Frameworks,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Scikit-Learn Framework,Machine Learning and Deep Learning Frameworks,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Microsoft CNTK (Cognitive Toolkit),Machine Learning and Deep Learning Frameworks,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Keras Framework,Machine Learning and Deep Learning Frameworks,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Tensorflow Framework,Machine Learning and Deep Learning Frameworks,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Theano Framework,Machine Learning and Deep Learning Frameworks,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Apache Spark Framework,Machine Learning and Deep Learning Frameworks,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
PyTorch Framework,Machine Learning and Deep Learning Frameworks,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Huge Database System Architecture Design,Management and Maintain of Database Systems,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Install and Update Disaster Recovery Procedures,Management and Maintain of Database Systems,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
High-Performance Algorithms and Predictive Models Development,Management and Maintain of Database Systems,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Extract and Load Data Between Database Systems,Management and Maintain of Database Systems,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Neo4j Database,NoSQL Databases,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
MongoDB Database,NoSQL Databases,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Cassandra Database,NoSQL Databases,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Google Cloud Bigtable,NoSQL Databases,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Redis Database,NoSQL Databases,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Hive Database,NoSQL Databases,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Python Programming Language,Programming Languages,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Lua Programming Language,Programming Languages,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
R Programming Language,Programming Languages,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SAS Programming Language,Programming Languages,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
GNU Octave Platform,Programming Languages,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Oracle Database,Relational Databases,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SAP Database,Relational Databases,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
PostgreSQL Database,Relational Databases,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
MySQL Database,Relational Databases,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SQL Server Database,Relational Databases,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SQL Programming Language,SQL Programming Language,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
DQL Programming Language,SQL Programming Language,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
IBM GraphSQL Programming Language,SQL Programming Language,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
WQL Programming Language,SQL Programming Language,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
KSQL Streaming SQL Engine,SQL Programming Language,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
BigQuery Programming Language,SQL Programming Language,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
MySQL MSQL Programming Language,SQL Programming Language,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SQL Server T-SQL Programming Language,SQL Programming Language,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Sybase Watcom-SQL Programming Language,SQL Programming Language,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
IBM SQL PL Programming Language,SQL Programming Language,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Oracle PL/SQL Programming Language,SQL Programming Language,Big Data Engineer,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Ggplot2 Software Package,Data Analytic Software Packages,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SAS Integrated System and Solutions,Data Analytic Software Packages,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Pyspark/Spark Framework,Data Analytic Software Packages,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Stata Software Package,Data Analytic Software Packages,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
AForge.NET Software Package,Data Analytic Software Packages,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Scikit-learn Software Package,Data Analytic Software Packages,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Julia Software Package,Data Analytic Software Packages,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Pandas Software Package,Data Analytic Software Packages,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
nQuery Statistical Package,Data Analytic Software Packages,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Predictive Modelling and Analysis,Data Analytic Techniques,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Clustering and Time Series Analytics Technique,Data Analytic Techniques,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Dimensionality Reduction Analytics Technique,Data Analytic Techniques,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Classification Analytics Technique,Data Analytic Techniques,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Regression Analytics Technique,Data Analytic Techniques,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Association Analytics Technique,Data Analytic Techniques,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Processing Sequential Data Technique,Data Analytic Techniques,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Microsoft Excel,Data Analytic Tools and Utilities,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Knime Tool,Data Analytic Tools and Utilities,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Rapidminer Tool,Data Analytic Tools and Utilities,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Matlab Tool,Data Analytic Tools and Utilities,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Gephi Tool,Data Analytic Tools and Utilities,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Microsoft Power BI,Data Analytic Tools and Utilities,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Tableau Online and Desktop Tools,Data Analytic Tools and Utilities,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Data Exploring and Data Visualizations,Data Modeling and Visualizations,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Matplotlib Library,Data Modeling and Visualizations,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Data PreProcessing and Data Modeling,Data Modeling and Visualizations,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Data Collection and Data Classification,Data Modeling and Visualizations,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Data Tag and Data Annotation,Data Modeling and Visualizations,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Seaborn API,Data Modeling and Visualizations,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Data Mining and Segmentation Techniques.,Data Modeling and Visualizations,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Identify and Analyze Complex Data Sets,Data Organization and Analytic Activities,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
"Interpret Data, Analyze Results then Provide ongoing Reports.",Data Organization and Analytic Activities,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Develop and Implement Database Systems,Data Organization and Analytic Activities,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
"Collect, Organize, Analyze and Accurate Information",Data Organization and Analytic Activities,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Computer Science Fundamental,Data Science and Data Engineering Fundamental,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Probability and Statistics Methodology,Data Science and Data Engineering Fundamental,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Matplotlib Library,Data Visualization Tools,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Seaborn API,Data Visualization Tools,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Microsoft PowerPoint,Data Visualization Tools,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Adobe Analytics,Google/Facebook Analytics and Adobe Analytics,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Google Analytics,Google/Facebook Analytics and Adobe Analytics,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Facebook Analytics,Google/Facebook Analytics and Adobe Analytics,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Discover the needs of the Business,Incorporate Analyses,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Navigate the Business?? Organizational Structure,Incorporate Analyses,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Make Work Compatible with the Engineering Stack,Incorporate Analyses,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Incorporate Complex Matching and Filtering,Incorporate Analyses,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Read/Write Data with any Format and Location,Incorporate Analyses,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Package technical work for diverse audiences,Incorporate Analyses,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Boosting with AdaBoost,Machine Learning Boosting Technique,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Boosting with CatBoost,Machine Learning Boosting Technique,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Boosting with GBM,Machine Learning Boosting Technique,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Boosting with XGBoost,Machine Learning Boosting Technique,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Boosting with LightGBM,Machine Learning Boosting Technique,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Hive Database,NoSQL Databases,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Cassandra Database,NoSQL Databases,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Redis Database,NoSQL Databases,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Neo4j Database,NoSQL Databases,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Google Cloud Bigtable,NoSQL Databases,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
MongoDB Database,NoSQL Databases,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Asynchronous Actor-Critic Agents (A3C),Reinforcement Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Q-Learning Algorithm,Reinforcement Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Deep Q-Learning Algorithm,Reinforcement Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Ensemble Learning Techniques and Algorithm,Reinforcement Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Bagging with Random Forests Algorithm,Reinforcement Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Monte-Carlo Tree Search (MCTS),Reinforcement Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SAP Database,Relational Databases,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
MySQL Database,Relational Databases,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
PostgreSQL Database,Relational Databases,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SQL Programming Language,SQL Programming Language,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Constrained Linear Regression Algorithm,Supervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Support Vector Machines (SVM),Supervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
The K-Nearest Neighbors Algorithm,Supervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Classification and Regression Trees Algorithm,Supervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Logistics Regression Algorithm,Supervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Neural Network,Supervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Na?ve Bayes Algorithm,Supervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
K-Means Clustering Algorithm,UnSupervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Restricted Boltzmann Machine,UnSupervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Principal Component Analysis and Algorithm,UnSupervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Neural Network,UnSupervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Auto encoder Model,UnSupervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
The Apriori Algorithm,UnSupervised Learning Algorithms,Data Analyst,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Apache Hbase-Hadoop Database,Big Data Engineering Ecosystem,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
YARN Resource Management,Big Data Engineering Ecosystem,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Apache Hive ETL and Data Warehousing Tool,Big Data Engineering Ecosystem,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Apache Spark Framework,Big Data Engineering Ecosystem,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Hadoop MapReduce Programming Model,Big Data Engineering Ecosystem,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Apache Hadoop Real-time Processing Framework,Big Data Engineering Ecosystem,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Apache Pig High-level Platform or Tool,Big Data Engineering Ecosystem,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Apache Flume Bulk Data Import Tool,Bulk Data Import and Export Tools,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Apache Sqoop Bulk Data Import Tool,Bulk Data Import and Export Tools,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Ggplot2 Software Package,Data Analytic Software Packages,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
nQuery Statistical Package,Data Analytic Software Packages,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Pandas Software Package,Data Analytic Software Packages,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
SAS Integrated System and Solutions,Data Analytic Software Packages,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
Julia Software Package,Data Analytic Software Packages,Data Architect,Data Scientist/ Data Engineer/ Data Analyst,DS/DE/DA,,,,,,,,,
