skill,group_skills,title,role
Azure Kubernetes Service (AKS),Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Batch Coding and Implementation,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Services,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure VMware Solution by CloudSimple,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Functions,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
SAP HANA on Azure Large Instances,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Dedicated Host,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Windows Virtual Desktop,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Linux Virtual Machines,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure CycleCloud,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Virtual Machine Scale Sets,Cloud Compute,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Shielded VMs,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Sole-tenant Nodes,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud GPUs,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Compute Engine,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Migrate for Compute Engine,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Preemptible VMs,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
App Engine,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Service Fabric,Cloud Containers,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Container Registry,Cloud Containers,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Red Hat OpenShift,Cloud Containers,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Web App for Containers,Cloud Containers,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Container Instances,Cloud Containers,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Container Options,Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Build,Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Google Kubernetes Engine (GKE),Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Deep Learning Containers,Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Container Registry,Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Container Security,Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Kubernetes applications on GCP Marketplace,Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
